curr_state	curr_action	next_reward	next_state	old_value	new_value
98	0	0	101	0.0	0.0
101	0	0	104	0.0	0.0
104	1	0	110	0.0	0.0
110	0	0	113	0.0	0.0
113	3	0	125	0.0	0.0
125	0	0	0	0.0	0.0
0	2	0	9	0.0	0.0
9	0	0	12	0.0	0.0
12	2	0	21	0.0	0.0
21	0	0	24	0.0	0.0
24	3	0	36	0.0	0.0
36	3	0	48	0.0	0.0
48	0	0	51	0.0	0.0
51	1	0	57	0.0	0.0
57	0	0	60	0.0	0.0
60	0	0	63	0.0	0.0
63	3	0	75	0.0	0.0
75	1	0	81	0.0	0.0
81	3	0	93	0.0	0.0
